名詞,,,,,
そちら,,（尊）那邊,,,,ぞちら
そと,外,外面,,,,ぞと
そば,側,旁邊,,,,そぱ
そば,,蕎麥麵,,,,そぱ
そら,,空,,,,ぞら
それ,,那個,,,,ぞれ
だいがく,大学,大學,,,,たいかく
だいどころ,台所,廚房,,,,たいとごろ
たてもの,建物,建築物,,,,たでもの
たばこ,,香菸,,,,たばご
たべもの,食べ物,食物,,,,だべもの
たまご,卵,蛋,,,,たばこ
だれ,誰,誰,,,,たれ
たんじょうび,誕生日,生日,,,,だんじょうび
ちかく,近く,附近,,,,ちがく
ちかてつ,地下鉄,地鐵,,,,ちかてづ
ちち,父,爸爸,,,,はは
つぎ,次,下個;下次,,,,つき
つくえ,机,桌子,,,,づくえ
て,手,手,,,,あし
てがみ,手紙,信件,,,,でかみ
でぐち,出口,出口,,,,だしぐち
てんき,天気,天氣,,,,でんき
でんき,電気,電器,,,,でんぎ
でんしゃ,電車,電車,,,,てんしゃ
でんわ,電話,電話,,,,てんわ
どうぶつ,動物,動物,,,,とうぶつ
とけい,時計,時鐘,,,,どけい
どこ,何処,哪裏,,,,とうこ
ところ,所,地方,,,,とごろ
とし,年,年,,,,とうし
としょかん,図書館,圖書館,,,,としょうかん
どちら,,（尊）哪裏,,,,とちら
どなた,何方,哪位,,,,となだ
となり,隣,旁邊;隔壁（有生命）,,,,どなり
ともだち,友達,朋友,,,,ともたち
とり,鳥,鳥,,,,どり
とりにく,鳥肉,雞肉,,,,どりにく
どれ,どれ,哪個,,,,とれ
なか,中,中間;裡面,,,,なが
なつ,夏,夏天,,,,なづ
なつやすみ,夏休み,暑假,,,,ねつやすみ
なに,何,什麼,,,,
なまえ,名前,名字,,,,なもえ
にく,肉,肉,,,,にぐ
にし,西,西方,,,,
にほんじん,日本人,日本人,,,,にほんにん
にわ,庭,庭院,,,,
ねこ,猫,貓,,,,ねご
のみもの,飲み物,飲料,,,,
はいざら,灰皿,菸灰缸,,,,はいさら
はがき,葉書,明信片,,,,はかぎ
はたち,二十歳,二十歲,,,,はだち
はな,鼻,鼻子,,,,
はな,花,花,,,,
はなし,話,話語;事情;故事,,,,
はは,母,媽媽,,,,
はる,春,春天,,,,
ばんごう,番号,號碼,,,,ばんこう
ばんごはん,晩ご飯,晚飯;晚餐,,,,
ひがし,東,東方,,,,
ひこうき,飛行機,飛機,,,,ひこぎ
ひと,人,人,,,,
ひゃく,百,百,,,,
ひゃくてん,百点,一百分,,,,
びょういん,病院,醫院,,,,びよういん
びょうき,病気,生病,,,,びょうぎ
ひる,昼,中午,,,,
ひるごはん,昼ご飯,中餐,,,,
ふく,服,衣服,,,,ふぐ
へや,部屋,房間,,,,
べんきょう,勉強,讀書,,,,べんぎょう
ほう,方,方向;方面,,,,
ほん,本,書本,,,,
ほか,,其他,,,,
まいあさ,毎朝,每天早上,,,,
まいしゅう,毎週,每週;每星期,,,,まいしゆう
まいつき,毎月,每個月,,,,まいづき
まいとし,毎年,每年,,,,まいねん
まいにち,毎日,每天,,,,まいび
まいばん,毎晩,每天晚上,,,,
まえ,前,前面;前方,,,,
まち,町,城;鎮,,,,
まど,窓,窗戶,,,,
みぎ,右,右邊;右方,,,,みき
みせ,店,店;商店,,,,みせい
みどり,緑,綠色,,,,みとり
みなさん,皆さん,大家;各位,,,,かいさん
みなみ,南,南方,,,,
みみ,耳,耳朵,,,,
みんな,皆,大家;各位,,,,みな
め,目,眼睛,,,,
めがね,,眼鏡,,,,
もの,物,物品,,,,
もん,門,門,,,,
もんだい,問題,問題,,,,もんたい
やおや,八百屋,蔬菜店,,,,はっぴゃくや
やさい,野菜,蔬菜,,,,やばい
やすみ,休み,休息,,,,きゅうみ
やま,山,山,,,,
ゆうがた,夕方,傍晚,,,,ゆうほう
ゆうはん,夕飯,晚餐,,,,
ゆき,雪,雪,,,,
ようふく,洋服,西裝;洋裝,,,,ゆうふく
よこ,横,旁邊（無生命）,,,,よご
よる,夜,晚上;夜晚,,,,
らいげつ,来月,下個月,,,,らいがつ
らいしゅう,来週,下週,,,,らいじゅう
らいねん,来年,明年,,,,らいとし
りゅうがくせい,留学生,留學生,,,,りょうがくせい
りょうり,料理,料理;做菜,,,,りようり
わたし,私,我,,,,
